brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_size
Land,Rover LR4 HSE,2013,79800,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,No,Yes,29990,5.0
Mercedes-Benz,Metris Base,2021,1685,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,No,Yes,250000,2.0
Dodge,Challenger SXT,2013,61074,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,No,Yes,16800,3.6
Nissan,350Z Enthusiast,2003,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,Unknown,No,Yes,11000,3.5
Jaguar,F-TYPE R,2018,35250,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,No,Yes,68750,5.0
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,Unknown,No,60000,3.5
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,No,Yes,4500,2.2
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,No,No,38598,3.0
Ford,F-150 XLT,2023,2823,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,No,Yes,58504,3.5
Chevrolet,Suburban RST,2021,52000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,No,Yes,61000,5.3
Hyundai,Elantra N Base,2022,11650,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,32300,2.0
Nissan,Sentra SR,2016,96541,Gasoline,1.8 Liter,Automatic,Blue,Black,No,No,13998,1.8
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,No,Yes,59995,2.0
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,No,Yes,25700,4.4
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,No,Yes,21375,2.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,No,Yes,48000,3.0
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,Yes,Yes,10900,5.7
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,120 AH,Automatic,Black,Black,No,No,24998,0.0
Kia,Sorento SX,2011,171000,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,No,Yes,5999,3.5
Lexus,LX 570 Base,2016,118700,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,No,Yes,46900,5.7
Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,No,Yes,15900,2.4
BMW,340 i,2018,44261,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,No,No,33598,3.0
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,No,Yes,8999,2.0
Hyundai,Tucson SE,2007,16200,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,No,Yes,8200,2.7
BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,Yes,Yes,20000,2.0
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,No,Yes,79950,6.0
Honda,Passport Elite,2023,2978,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,No,No,45498,3.5
Dodge,Sprinter 2500,2007,189719,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,Yes,Yes,14000,3.0
BMW,M850 i xDrive,2019,9949,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,No,No,75798,4.4
Lucid,Air Grand Touring,2022,3552,Electric,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,No,Yes,119999,0.0
Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,Yes,Yes,36880,3.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,No,Yes,43147,5.3
MINI,Convertible John Cooper Works,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,Yes,Yes,29000,2.0
Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,No,Yes,17500,3.5
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,No,Yes,30990,3.6
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,Yes,Yes,52500,4.0
Honda,CR-V EX-L,2016,73549,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,Yes,No,20848,2.4
Hummer,H2 Base,2005,110900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,No,Yes,19500,6.0
Porsche,911 Carrera S,2013,39000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,No,Yes,73000,3.8
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,19800,2.0
Chrysler,300 Touring,2009,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,No,Yes,7500,3.5
Nissan,Rogue SV,2023,1094,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,No,No,30999,1.5
Audi,A3 2.0T,2010,83500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,No,Yes,6500,2.0
Ford,Mustang GT Premium,2014,37060,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,No,Yes,28500,5.0
Acura,RL Technology,2010,97700,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,No,Yes,10995,3.7
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,No,Yes,42000,2.0
Audi,R8 5.2 V10,2018,8940,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,No,No,144900,5.2
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,Yes,Yes,10000,3.5
Toyota,C-HR LE,2021,13180,Gasoline,2.0 Liter,CVT-F,Unknown,Unknown,No,No,23998,2.0
Lexus,IS 350 Base,2014,104000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,No,Yes,21000,3.5
BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,No,Yes,67900,3.0
BMW,M4 CS,2019,19069,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,No,No,69998,3.0
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,No,Yes,46900,2.0
Lucid,Air Grand Touring,2022,4900,Electric,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,No,Yes,99000,0.0
Audi,A5 2.0T Premium Plus,2019,47523,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,31000,2.0
Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,Yes,Yes,19995,6.1
Bentley,Continental GT W12,2017,14684,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,No,Yes,130000,6.0
BMW,M4 Base,2019,57800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,No,Yes,55999,3.0
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,No,Yes,49950,1.6
Audi,RS 5 2.9T,2019,21240,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,Yes,Yes,59950,2.9
Porsche,Cayenne Base,2019,59338,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,42499,3.0
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,No,No,359991,5.2
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,No,Yes,44999,3.0
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,Yes,Yes,30000,3.0
Lexus,ES 330 Base,2005,41059,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,No,Yes,11100,3.3
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,Gasoline,2.0 Liter,Automatic,White,Black,No,No,37998,2.0
Porsche,Cayman GTS,2015,11500,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Unknown,No,Yes,72000,3.4
Genesis,G90 3.3T Premium,2021,9950,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,No,Yes,53950,3.3
Volkswagen,Golf R 20th Anniversary Edition,2023,633,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,No,Yes,47999,2.0
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,Yes,Yes,15900,2.4
Audi,RS 7 4.0T Prestige,2014,59715,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,Yes,Yes,45000,4.0
BMW,740 Li,2012,85252,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,No,Yes,18500,3.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,Yes,Yes,80000,3.0
BMW,M6 Base,2016,25500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,No,Yes,55000,4.4
Subaru,Forester 2.5 X,2004,210703,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,Unknown,No,2300,2.5
Hyundai,Elantra N Base,2023,3800,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,No,Yes,34000,2.0
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,No,Yes,31995,1.6
Rivian,R1S Adventure Package,2023,2800,Electric,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,No,Yes,92000,0.0
Aston,Martin DBS Superleggera,2021,2165,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,No,Yes,279950,5.2
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,Yes,Yes,29900,2.0
BMW,435 Gran Coupe i,2016,76009,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,No,Yes,24950,3.0
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,No,No,39366,5.7
Lexus,RC 350 Base,2015,48000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,No,Yes,32900,3.5
BMW,525 i,2005,91420,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,No,Yes,8900,2.5
Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,Yes,Yes,4995,1.8
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,No,No,104900,6.2
GMC,Acadia SLT-1,2012,116226,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,No,Yes,7900,3.6
Lexus,LC 500 Base,2020,37869,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,No,No,75950,5.0
BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,No,Yes,86000,1.5
Lexus,ES 300h Base,2013,87001,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,No,Yes,17995,2.5
Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,Yes,Yes,55655,3.0
BMW,540 i xDrive,2020,27158,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,No,No,39998,2.0
Chevrolet,Express 1500 Work Van,2014,139804,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,Yes,Yes,14500,4.3
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,No,Yes,47500,3.6
BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,No,Yes,27000,2.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,Yes,Yes,18000,3.0
Cadillac,XT4 Sport,2019,44500,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,No,Yes,28900,2.0
BMW,750 750i xDrive,2021,10917,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,No,No,73998,4.4
Bentley,Arnage R,2005,8332,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,No,Yes,47350,0.0
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,No,No,47698,3.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,No,Yes,36500,5.5
RAM,ProMaster 3500 High Roof,2021,147834,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,No,Yes,32662,3.6
Ford,Utility Police Interceptor Base,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,Yes,Yes,6600,3.7
Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,No,Yes,9995,2.0
Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,No,Yes,69500,3.8
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,Yes,No,30775,0.0
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,Yes,Yes,9995,1.8
Rivian,R1S Adventure Package,2023,2500,Electric,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,No,Yes,94000,0.0
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,No,No,44798,2.0
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,Yes,Yes,23000,3.0
Chevrolet,Express 1500 Work Van,2011,93009,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,No,Yes,22495,5.3
INFINITI,Q70h Base,2016,52750,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,Yes,Yes,28998,3.5
Audi,A7 Premium Plus,2020,25361,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,No,No,49998,3.0
Audi,Q7 3.0T Premium Plus,2015,98527,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,Unknown,No,9995,3.0
Lucid,Air Pure,2023,1300,Electric,620.0HP Electric Motor Electric Fuel System,A/T,Black,Gray,Unknown,No,86900,0.0
Audi,TTS 2.0T Premium Plus,2012,72922,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,Unknown,No,25999,2.0
BMW,650 Gran Coupe i xDrive,2015,41000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,No,Yes,30000,4.4
Subaru,Forester Premium,2021,42125,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,No,Yes,27899,2.5
Mercedes-Benz,AMG C AMG C 63,2016,62000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,No,Yes,40000,4.0
Land,Rover LR3 HSE,2006,153843,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,Yes,Yes,9950,4.4
BMW,X7 xDrive40i,2019,35248,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,No,No,53998,3.0
Ford,Transit Connect XLT,2015,194454,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,No,Yes,9888,2.5
Lexus,LX 570 Three-Row,2021,21000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,No,Yes,89999,5.7
Porsche,911 Carrera S,2013,18494,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,Unknown,No,86900,3.8
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,No,Yes,12990,5.7
Nissan,Armada SL,2021,67800,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,Yes,Yes,36500,5.6
Porsche,Cayman Base,2014,79000,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,Yes,Yes,42999,2.7
Mercedes-Benz,GLE 450 GLE 450,2022,24906,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,No,No,63998,3.0
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,Yes,Yes,12000,5.3
BMW,M5 Base,2013,86000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,No,Yes,32000,4.4
Hyundai,Kona N Base,2023,654,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,No,Yes,34599,2.0
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,No,Yes,12500,3.8
Land,Rover Range Rover Evoque Pure,2015,84000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,Yes,Yes,22800,2.0
Audi,S7 4.0T Premium Plus,2017,52500,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,No,Yes,39999,4.0
GMC,Acadia SLT-1,2011,120000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,No,Yes,7500,3.6
Alfa,Romeo Stelvio Ti Sport,2020,18665,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Lunare White Metallic,Ice,No,Yes,35645,2.0
Ferrari,FF Base,2016,19987,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,No,Yes,149900,6.3
Kia,K900 5.0L,2017,36486,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,Yes,Yes,23950,5.0
Ford,E150 XLT,2013,162100,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Black,Gray,No,Yes,12500,5.4
Tesla,Model 3 Performance,2022,13079,Electric,455.0HP Electric Motor Electric Fuel System,A/T,Black,White,No,Yes,47000,0.0
Toyota,4Runner SR5,2022,28377,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Silver,Gray,No,No,36999,4.0
Subaru,Forester Base,2020,32744,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,No,Yes,24000,2.5
Porsche,Panamera 2,2012,54000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Unknown,Yes,Yes,26000,3.6
Toyota,Tacoma PreRunner,2008,202055,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,Yes,Yes,8500,4.0
RAM,2500 Laramie,2019,65000,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,No,Yes,65000,6.7
Kia,Sportage Nightfall,2022,9686,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Hyper Red,Black,No,Yes,30990,2.4
Cadillac,DTS Base,2010,49620,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,No,Yes,10499,4.6
Toyota,Land Cruiser Base,1997,213000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,No,Yes,26500,4.5
Nissan,GT-R Premium,2020,16010,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,No,Yes,114000,3.8
Lexus,NX 350 F SPORT Handling,2023,820,Gasoline,2.4 Liter,8-SPEED AT,Black,Black,No,No,51998,2.4
